对焦位置（0-100）	等待时间	串口返回	图像处理返回	与上一张清晰度对比	对焦清晰度返回	返回时间1	返回时间2	返回时间3	返回时间4	返回时间5	返回时间6	发送到返回时间	拍摄时间	存图时间	总拍照获取图像时间	图像处理时间	一次完整对焦拍照时间
0	50	0	0	0.0265096	7.70265	0	0	0	0	0	0	0.051	0.002	0.117	0.119	0.544	0.714
100	50	0	0	0.0263562	7.6763	0	0	0	0	0	0	0.052	0.002	0.138	0.14	0.534	0.726
0	50	0	1	0.0325758	7.70887	0	0	0	0	0	0	0.052	0.001	0.118	0.119	0.554	0.725
100	50	0	0	0.00975765	7.71863	0	0	0	0	0	0	0.05	0.002	0.117	0.119	0.546	0.715
0	50	0	1	0.0475655	7.67106	0	0	0	0	0	0	0.051	0.001	0.118	0.119	0.545	0.715
100	50	0	0	0.0078123	7.67888	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.539	0.708
0	50	0	0	0.00268834	7.67619	0	0	0	0	0	0	0.051	0.001	0.117	0.118	0.575	0.744
100	50	0	0	0.00264924	7.67354	0	0	0	0	0	0	0.051	0.002	0.125	0.127	0.554	0.732
0	50	0	0	0.0081073	7.68165	0	0	0	0	0	0	0.052	0.001	0.117	0.118	0.539	0.709
100	50	0	0	0.0122413	7.6694	0	0	0	0	0	0	0.051	0.002	0.116	0.118	0.552	0.721
0	50	0	0	0.00303979	7.66637	0	0	0	0	0	0	0.051	0.001	0.122	0.123	0.532	0.706
串口发送总数	100
串口发送成功	0
串口返回成功	0
图像变焦成功数量	28
相机曝光时间	0.5ms
